sentiment,headline,translated_text
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .","Абонентская база ""МегаФона"" увеличилась в 2009 году на 16,1% до 50,5 млн пользователей по состоянию на 31 декабря, а его рыночная доля по количеству клиентов составила 24% на конец 2009 года по сравнению с 23% на конец 2008 года, по оценкам TeliaSonera. ."
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .","Чистый доход от страхования жизни увеличился вдвое до 6,8 млн евро с 3,2 млн евро, а чистый доход от страхования, не связанного с жизнью, вырос до 5,2 млн евро с 1,5 млн евро в соответствующем периоде 2009 года."
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),"Чистый объем продаж увеличился до 193,3 млн евро с 179,9 млн евро, а прибыль до налогообложения выросла на 34,2% до 43,1 млн евро. (1 евро = 1,4 доллара США)"
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .","Чистый объем продаж вырос на 18,5% до 167,8 млн евро. Телесте сообщил, что 20,4 млн евро, или 12,2% продаж, пришлись на приобретения, сделанные в 2009 году."
positive,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,"Операционная прибыль Nordea Group выросла в 2010 году на 18 процентов по сравнению с аналогичным периодом прошлого года до 3,64 миллиарда евро, а общий доход - на 3 процента до 9,33 миллиарда евро."
positive,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .","Операционная прибыль за девять месяцев увеличилась с 13,6 млн евро, а чистый объем продаж увеличился с 394,7 млн ​​евро по сравнению с соответствующим периодом 2005 года."
positive,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .","Операционная прибыль за девять месяцев увеличилась с 3,1 млн евро, а чистый объем продаж увеличился с 61,5 млн евро по сравнению с соответствующим периодом 2007 года."
positive,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .","Операционная прибыль за трехмесячный период увеличилась с 1,2 млн евро, а выручка увеличилась с 20,2 млн евро по сравнению с соответствующим периодом 2005 года."
positive,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+_o , as saying .","Бразильское подразделение финского поставщика решений безопасности F-Secure в прошлом году привлекло 1500 новых клиентов, сообщает онлайн-источник новостей Reseller Web со ссылкой на коммерческого директора подразделения Владимира Бранда+_о."
positive,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .","Чистая прибыль компании выросла на 11,4% по сравнению с аналогичным периодом прошлого года до 82,2 млн евро в 2005 году при объеме продаж в 686,5 млн евро, что на 13,8% больше, чем в прошлом году, сообщила компания ранее."
positive,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .","Литовский рынок пива в январе составил 14,41 миллиона литров, что на 0,8 процента больше, чем годом ранее, сообщает Ассоциация пивоваров Литвы со ссылкой на результаты своих членов."
positive,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .","Выручка Viking Line от грузоперевозок увеличилась на 5,4% до 21,46 млн евро, а объем грузов увеличился на 2,4% до 70 116 грузовых единиц."
positive,"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .","Справедливая стоимость портфеля недвижимости в результате приобретения Kapiteeli увеличилась вдвое и составила 2 686,2 1 259,7 млн ​​евро."
positive,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,"10 февраля 2011 г. - Финская медиа-компания Sanoma Oyj HEL: SAA1V сообщила вчера, что ее чистая прибыль за 2010 год выросла почти в три раза до 297,3 миллиона евро со 107,1 миллиона евро в 2009 году, и объявила о предложении повысить выплаты."
positive,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .","Хельсинки: ELIiV сообщила сегодня о прибыли на акцию в размере 1,13 евро за 2009 год, что превышает прибыль на акцию в 1,12 евро в 2008 году."
positive,"Aspo Plc STOCK EXCHANGE RELEASE February 11 , 2011 at8 .45 a.m. ESL Shipping Ltd , part of Aspo Group , has signed a new , long-term contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea .","Aspo Plc ОБЪЯВЛЕНИЕ О ФОНДОВОЙ БИРЖЕ 11 февраля 2011 г., 8:45 утра. Компания ESL Shipping Ltd, входящая в состав Aspo Group, подписала новый долгосрочный контракт с корпорацией Rautaruukki на морскую транспортировку сырья по Балтийскому морю."
positive,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .","Комиссионные доходы увеличились на 22% до 4,4 млн евро, а объем кредитования увеличился на 13,5%."
positive,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .","В январе объем перевозок, измеряемый в коммерческих пассажиро-километрах RPK, увеличился на 3,2%, а пропускная способность, измеряемая в пассажиро-километрах ASK, выросла на 12,2%."
positive,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .","В январе-сентябре 2010 года чистая прибыль Fiskars выросла на 14% в годовом исчислении до 65,4 млн евро, а чистый объем продаж - до 525,3 млн евро с 487,7 млн ​​евро."
positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Чистый доход от страхования жизни вырос до 16,5 млн евро с 14,0 млн евро, а чистый доход от страхования иного, чем страхование жизни, до 22,6 млн евро с 15,2 млн евро в 2009 году."
positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",Nyrstar также согласилась поставлять на Талвиваару до 150 000 тонн серной кислоты в год для использования в процессе выщелачивания на Талвивааре в период поставок цинка в концентрате.
positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Продажи отделов универмагов и Hobby Hall выросли на 7 % , а продажи дочернего магазина одежды Seppala снизились на 4 % ."
positive,Sales have risen in other export markets .,Продажи выросли на других экспортных рынках.
positive,Sales increased due to growing market rates and increased operations .,Продажи увеличились за счет роста рыночных ставок и увеличения операций.
positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,Соглашение укрепляет наше долгосрочное партнерство с Nokia Siemens Networks.
positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","Соглашение было подписано с Biohit Healthcare Ltd, британским филиалом Biohit Oyj, финской публичной компании, которая разрабатывает, производит и продает продукты для работы с жидкостями и диагностические тест-системы."
positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"Компания также оценивает, что уже осуществленные инвестиции приведут к увеличению ее чистых продаж в 2010 году по сравнению с 2009 годом, когда они достигли 141,7 миллиона евро."
positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","Портфель заказов компании на 30 сентября 2007 года составил 1,5 млрд евро ($2,2 млрд), что на 24,2% больше, чем за год, при этом международные заказы составили 365 млн евро ($534,3 млн)."
positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","Компания заявила, что спрос на бумагу увеличился на всех ее основных рынках, включая печатные издания, и что она увеличила средние цены на бумагу на 4 процента по сравнению с прошлым годом."
positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","Второй по величине в мире производитель нержавеющей стали сообщил, что чистая прибыль за трехмесячный период до 31 декабря выросла до 603 млн евро (781 млн долларов США), или 3,33 евро (4,31 доллара США на акцию), со 172 млн евро (или 0,94 евро на акцию). доля , предыдущий год ."
positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","В рамках партнерства Nokia Siemens Networks подписала первичное рамочное соглашение о покупке с дочерней компанией «Ситроникса» АО «Микрон», которая является крупнейшим производителем и экспортером микроэлектронных компонентов в России."
positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Выручка Seppala выросла на 0,2% до 10,1 млн евро. В Финляндии выручка снизилась на 2,4% до 6,8 млн евро, а продажи за рубежом выросли на 6,2% до 3,3 млн евро. Продажи увеличились во всех странах Балтии, а также в России и Украине."
positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Акции Standard Chartered ( STAN ) выросли на 1,2 % в индексе FTSE 100 , акции Royal Bank of Scotland ( RBS ) выросли на 2 % , а акции Barclays ( BARC ) ( BCS ) выросли на 1,7 % ."
positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,"Акции Nokia Corp. выросли в четверг после того, как производитель сотовых телефонов сообщил, что его прибыль за третий квартал выросла почти вдвое, а его доля на мировом рынке мобильных телефонов увеличилась."
positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","В своем финансовом отчете, опубликованном в пятницу, SEB сообщил, что его чистая прибыль выросла до 6,745 млрд шведских крон в 2010 году по сравнению с 1,114 млрд шведских крон годом ранее, и предложил увеличить дивиденды на 50% до 1,50 шведских крон на акцию."
positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,"Продажи подразделения универмагов выросли на 15 % , а продажи дочернего магазина одежды Seppala увеличились на 8 % . В то же время продажи Hobby Hall снизились на 12 % ."
neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","По запросу газет финской медиа-компании Alma Media руководитель исследования Яри Кайво-оя из Центра исследований будущего Финляндии при Школе экономики Турку нарисовал сценарий будущего национальной экономики Финляндии, используя модель, разработанную Денверский университет."
neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","В Швеции совокупные продажи Gallerix, выраженные в шведских кронах, снизились на 1%, а продажи в евро выросли на 11%."
neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,Компания поддерживает своих клиентов по всему миру в разработке новых технологий и предлагает быстрый путь от разработки продукта к его применению и серийному производству.
neutral,"When this investment is in place , Atria plans to expand into the Moscow market .","Когда эти инвестиции будут осуществлены, «Атрия» планирует выйти на московский рынок."
neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","«Новое соглашение является продолжением соглашения, подписанного ранее в этом году с Lemminkainen Group, согласно которому Cramo приобрела весь парк строительной техники Lemminkainen Talo Oy Ita-ja Pohjois Suomo и подписала аналогичное соглашение», - сказал Тату Хаухио, управляющий директор Cramo. Финляндия."
positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","Первоначально контракт предусматривал строительство трех паромов с возможностью приобретения еще двух единиц, впоследствии подтвержденный на общую стоимость 500 млн евро ($645,8 млн)."
neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","В июне она продала 30 процентов акций компании Nordstjernan, и теперь инвестиционная группа воспользовалась опционом на приобретение оставшихся акций EQT."
positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION ОБЪЯВЛЕНИЕ О ФОНДОВОЙ БИРЖЕ 28.02.2008 В 09.30 1 (1) Корпорация Kesko и Aspo plc подписали сегодня соглашение, по которому Aspo приобретает акционерный капитал Kauko-Telko Ltd, дочерней компании, полностью принадлежащей Kesko."
positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Сообщение фондовой биржи Sponda Plc от 5 декабря 2006 г. в 15,45 СИНДИЦИРОВАННАЯ КРЕДИТНАЯ СРЕДСТВА НА 1,5 МИЛЛИАРДА ЕВРО ДЛЯ SPONDA Компания Sponda подписала соглашение об открытии годовой синдицированной кредитной линии на общую сумму 1,5 миллиарда евро."
neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,ОБЪЯВЛЕНИЕ О БИРЖЕ 20 июля 2006 г. 1 (1) ПОДПИСКА АКЦИЙ BASWARE С ВАРАНТАМИ И УВЕЛИЧЕНИЕМ АКЦИОНЕРНОГО КАПИТАЛА Всего на программу BasWare Warrant Program было подписано 119 850 акций.
positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","Контракт охватывает платформу HDO, оптические узлы Fttb AC800 и CXE880, предназначенные для увеличения пропускной способности прямых и обратных путей сетей передачи."
neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,"Планируется, что новая электростанция будет иметь мощность по производству электроэнергии до 350 мегаватт (МВт) и такую ​​же мощность по производству тепла."
positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","Индекс OMX Helsinki 25 вырос на 0,92% до 2518,67, а портфельный индекс Helsinki CAP вырос на 0,91% до 4711,19."
neutral,"- So , the sales growth of cars considerably influence on the tires market '' .",- Так что рост продаж автомобилей существенно влияет на рынок шин».
neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .","В дальнейшем можно подписаться максимум на 666 104 новых акций, исполнив опционы B в рамках опционного плана на 2004 год."
neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","В результате эмиссии количество акций компании увеличивается на 391 630 акций, а уставный капитал - на 15 665,20 евро."
neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","Финский инвестор в недвижимость Sponda Plc сообщил в среду, 12 марта, что он подписал соглашения с Danske Bank A-S, филиалом в Хельсинки, на 7-летнюю кредитную линию в размере 150 млн евро и с компанией Ilmarinen Mutual Pension Insurance Company на 7-летнюю кредитную линию в 50 млн евро."
neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","На маршруте между Хельсинки (Финляндия) и Таллинном (Эстония) объемы грузов увеличились на 36%, тогда как объемы грузов между Финляндией и Швецией сократились на 9%."
neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","Другие меры включали усиление синергии и эффекта масштаба внутри Grimaldi Group, а также кадровые корректировки, продажу активов и возврат избыточного тоннажа."
positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","Ринкускиай увеличил продажи на 18,1 процента - до 1,37 миллиона литров, а продажи Kauno Alus выросли на 14,3 процента - до 960 тысяч литров."
neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"TELECOMWORLDWIRE-7 апреля 2006 г. – TJ Group Plc продает долю в Morning Digital Design Oy Финская ИТ-компания TJ Group Plc сообщила в пятницу, 7 апреля, что подписала соглашение о продаже своих акций Morning Digital Design Oy компании Edita Oyj."
positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,"TELECOMWORLDWIRE-7 апреля 2006 г. – TJ Group Plc продает долю в Morning Digital Design Oy Финская ИТ-компания TJ Group Plc сообщила в пятницу, 7 апреля, что подписала соглашение о продаже своих акций Morning Digital Design Oy компании Edita Oyj."
neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .",718 430 новых акций серии А станут предметом торгов в основном списке Хельсинкской фондовой биржи вместе со старыми акциями серии А 3 июля 2006 года.
neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,Контракты на закупку топлива заключены с поставкой на три месяца с сентября по ноябрь текущего года.
neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,"Tiimari управляет 194 магазинами в шести странах, включая свой основной рынок – Финляндию, и в 2005 году ее оборот составил 76,5 миллионов евро."
positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,В соответствии с этим соглашением Biohit становится основным поставщиком пипеток и одноразовых наконечников для пипеток клиентам VWR по всей Европе.
positive,"The combination of all services enabling us to offer a complex and strengthened service chain not only limited to the Baltic port connections but also for getting access to the world wide Grimaldi Network into the Mediterranean , Africa and North America `` says Uwe Bakosch .","Комбинация всех услуг позволяет нам предлагать сложную и усиленную цепочку услуг, не только ограничивающуюся соединениями портов Балтийского моря, но и для получения доступа к всемирной сети Гримальди в Средиземноморье, Африке и Северной Америке», - говорит Уве Бакош."
neutral,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,Отсутствие слепых зон с одной точки обзора позволяет следователям видеть всю историю в высоком разрешении без непрерывного видео.
positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","Компания по-прежнему ожидает, что ее оборот в 2010 году немного увеличится по сравнению с уровнем 2009 года, добавив, что ""предсказуемость рынка все еще слишком плохая для достоверных прогнозов о развитии рынка контрактного производственного бизнеса в текущем году""."
positive,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,Это приобретение значительно увеличит продажи и позиции Kemira на российском рынке покрытий для металлургической промышленности.
positive,"In January-September 2007 , Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 .","В январе-сентябре 2007 года чистый объем продаж Finnlines вырос до 505,4 млн евро с 473,5 млн евро в соответствующем периоде 2006 года."
positive,"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .","С учетом изменений в структуре Группы чистый объем продаж Дивизиона увеличился на 1,7%."
positive,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .","«Это изменение позволит оптимизировать операционную эффективность нашего растущего бизнеса», — сказала Юлия Прохаска, директор по маркетинговым коммуникациям Fiskars."
positive,"`` They would invest not only in the physical infrastructure , but would also provide know-how for managing and developing science and technology parks , '' said Sunrise Valley director Andrius Bagdonas .","«Они будут инвестировать не только в физическую инфраструктуру, но также предоставят ноу-хау для управления и развития научных и технологических парков», - сказал директор Sunrise Valley Андрюс Багдонас."
