headline,sentiment,translated_text
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,$SAP в первом квартале разочаровывает из-за прекращения #лицензий на программное обеспечение. Реальная проблема? #следы роста облака $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5
"The subdivision made sales revenues last year of EUR 480.7 million EUR 414.9 million in 2008 , and operating profits of EUR 44.5 million EUR 7.4 million .",positive,"Доходы от продаж подразделения в прошлом году составили 480,7 миллиона евро, в 2008 году - 414,9 миллиона евро, а операционная прибыль составила 44,5 миллиона евро и 7,4 миллиона евро."
Viking Line has canceled some services .,neutral,Viking Line отменила некоторые услуги.
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",neutral,ОБЪЯВЛЕНИЕ О ФОНДОВОЙ БИРЖЕ Ahlstrom Corporation 7 февраля 2007 года в 10.30 Всего на 56 955 новых акций Ahlstrom Corporation подписано право опциона в рамках опционных программ компании I 2001 и II 2001 года.
$FB gone green on day,positive,$FB стал зеленым в этот день
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,"Доход от MSFT SQL Server вырос двузначными числами, при этом доход от SQL Server Premium увеличился более чем на 30 % http://stks.co/ir2F"
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"По словам генерального директора L+ñnnen Tehtaat Матти Карппинена, компания стремится доставлять рыбную продукцию своим клиентам на день раньше, чем сейчас."
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,Акции компании котируются на NASDAQ OMX Helsinki Rautaruukki Oyj: RTRKS.
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Акции Elcoteq SE котируются на бирже Nasdaq OMX Helsinki Ltd.
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,"Два из этих контрактов касаются виброкомпактов с поворотным столом и анодом, которые будут поставлены компании Gansu Hualu Aluminium Co Ltd и еще одному неназванному заказчику."
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva и Friends Life прогнозируют слияние стоимостью 5,6 млрд фунтов стерлингов"
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,Вместо обычного безалкогольного напитка энергетический напиток Teho готовится на основе пресной воды.
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,Компания планирует увеличить штат специалистов подразделения до нескольких десятков - в зависимости от ситуации на рынке в 2010 году.
The company closed last year with a turnover of about four million euros .,neutral,Компания закрылась в прошлом году с оборотом около четырех миллионов евро.
Shire CEO steps up drive to get Baxalta board talking,positive,"Генеральный директор Shire активизирует усилия, чтобы убедить совет директоров Baxalta высказаться"
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: дивидендная игра в сфере розничной торговли https://t.co/Fa5cnh2t0t $COST
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,Пятиэтажное экологически эффективное здание будет иметь общую площадь около 15 000 кв.м. В него также войдут квартиры.
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"Первый выпуск серии Cinema завершается рассказом о финском изобретателе Олави Линдене, чей личный творческий путь и работа в Fiskars привели к десяткам наград в области дизайна."
All are welcome .,neutral,Все приветствуются.
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"Stockmann и шведская отраслевая компания AB Lindex 30 сентября 2007 года заключили соглашение, согласно которому Stockmann или ее 100% дочерняя компания сделает публичное тендерное предложение на все выпущенные акции Lindex."
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"HUHTAMAKI OYJ СООБЩЕНИЕ О ФОНДОВОЙ БИРЖЕ, 16.9.2008 В 13.32 День рынков капитала Huhtamaki для институциональных инвесторов и аналитиков пройдет в Эспоо 16 сентября 2008 года, начало в 13.30 по финскому времени."
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,«Мы рады приветствовать Tapeks Noma в группе Cramo.
- Profit before taxes was EUR 105.9 82.7 million .,neutral,"- Прибыль до уплаты налогов составила 105,9 82,7 млн ​​евро."
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell купит BG Group почти за 70 миллиардов долларов
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm не является службой пресс-релизов и не получает никакой компенсации за свои новости, мнения или распространение."
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"ASSA ABLOY Kaupthing Bank дал «нейтральную» рекомендацию и целевую цену акций шведского производителя замков Assa Abloy AB на уровне 174 крон ($24,7–19 евро)."
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"В эту статью включены затраты на реструктуризацию в размере 1,6 млн евро, тогда как годом ранее они составляли 13,1 млн евро. Разводненная прибыль на акцию составила 0,3 евро при убытке на акцию в 0,1 евро."
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"В 2005 году банк получил чистую прибыль в размере 8,2 млн. литов."
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,"Послеобеденная распродажа $AAPL, как обычно, будет жестокой. будьте готовы потерять кучу денег."
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,"$TSLA отзывает практически каждую модель X @cnnbrk дошла до того, что даже на работе вы прыгаете в торговле деньгами"
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,Dolce & Gabbana обратилась к Европейскому Союзу с просьбой объявить торговую марку Unikko с цветочным узором Marimekko Corporation недействительной в рамках продолжающегося спора между двумя компаниями.
InterContinental Hotels first-quarter global room revenue lags estimates,negative,Глобальная выручка от номеров InterContinental Hotels в первом квартале отстает от оценок
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"По данным финской компании пенсионного страхования Varma, Varma была получателем более двух третей доходов от пенсионного обеспечения, связанного с заработком, которое участвовало в конкурсных торгах в Финляндии."
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"Часть суммы в 12,5 миллионов долларов будет зачислена в счет выигрыша в предыдущем патентном споре с финским производителем телефонов Nokia Oyj."
"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G все еще расплачивается за сокращение дивидендов во время кризиса, говорит руководитель"
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"Объем инвестиций в две фазы проекта оценивается в 300 млн долларов США (215,03 млн евро)."
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"На долю России в 2009 году пришлось 9% выручки журнального подразделения Lagardere, или 114,40 млн евро (148,11 млн долларов США), на США - 18%."
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"Компания также оценивает, что уже осуществленные инвестиции приведут к увеличению ее чистых продаж в 2010 году по сравнению с 2009 годом, когда они достигли 141,7 миллиона евро."
Profit of the accounting period was EUR 0.3 mn .,neutral,"Прибыль отчетного периода составила 0,3 млн евро."
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"Шесть пивоваренных заводов зафиксировали рост продаж пива на внутреннем рынке в прошлом году на 5,2 процента до 270,21 миллиона литров с 256,88 миллиона литров, проданных в 2005 году."
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"В августе-октябре 2010 года результат компании до уплаты налогов составил 9,6 млн евро по сравнению с 0,5 млн евро в соответствующем периоде 2009 года."
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Продажи и проектные ресурсы Systeemitiimi также будут усилены, сказал директор Пол Скогберг."
Tesco share price jumps as Q3 sales top estimates,positive,Цена акций Tesco подскочила на фоне прогнозов продаж в третьем квартале
The fine print is here .,neutral,Мелкий шрифт здесь.
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,"Цены на бревна явно улучшились по сравнению с 2009 годом, а также выросли цены на балансы."
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Таким образом, SysOpen Digia в соответствии с разделом 21 главы 14 Закона о финских компаниях от 29.09.1978-734 получила право собственности на все акции Sentera, подлежащие выкупу."
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"Разводненная прибыль на акцию (EPS) упала до 0,63 евро с 1,71 евро."
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"В 15:37. По восточному времени блок из 2400 контрактов перешел из рук в руки по цене спроса 0,45 доллара."
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Некоторые из последних поставок технологий включают технологии нефтеперерабатывающего завода для Anrak Aluminium, завод по производству окатышей железной руды для Tata Steel и заводы по агломерации железной руды для Bhushan Steel."
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,"$VIPS аналогичная картина, как в начале мая. Ты продал? То же самое и сейчас... после этого падения цена поднимется намного выше."
The firm generated sales of 187 mln eur in 2005 .,neutral,В 2005 году объем продаж компании составил 187 миллионов евро.
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso также провела встречи с органами труда, центрами занятости и экономического развития и представителями правительства, чтобы найти решения."
AstraZeneca profit down as sales of stalwarts fade,negative,Прибыль AstraZeneca снижается из-за снижения продаж ее стойких приверженцев
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist График: Yahoo: http://stks.co/1itr $YHOO Сумасшедший график, но приближается к линии сопротивления прорыва..."
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,Большинство бычьих акций в Твиттере во время этого падения. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY подробнее: https://t.co/iuZJelfwt3
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,Чистый объем продаж финской компании GeoSentric в январе-марте 2009 года снизился до 939 000 евро.
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers, Inc.: 5 534 626 акций, что составляет 4,985% акционерного капитала и прав голоса."
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,"В Японии было нанято больше сотрудников для дальнейшего расширения сети, насчитывающей около 50 сервисных центров в более чем 20 странах мира."
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Акции бумажных компаний оказались в минусе: Stora Enso R потеряла 1,62% до 12,73 евро, UPM-Kymmene снизилась на 0,80% до 18,64 евро, а M-real B снизилась на 0,18% до 5,57 евро."
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,"К концу года централизованное управление Кауко-Телко будет расформировано, а соответствующие его части будут переданы операционной деятельности и управлению Группой."
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"Операционная прибыль за квартал апрель-июнь 2006 г. составила 182,2 млн евро при объеме продаж 3,62 млрд евро."
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,"Atria выбрала DeLight, чтобы привлечь потребителей в возрастной группе 25–45 лет к ассортименту блюд Atria Fresh, которые можно использовать в микроволновой печи."
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,"Финский поставщик ИТ-решений Affecto Oyj HEL: AFE1V сообщила сегодня, что ее чистый убыток во втором квартале 2010 года составил 115 000 евро (152 000 долларов США) по сравнению с прибылью в 845 000 евро за соответствующий период годом ранее."
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,Санкции США поставили под угрозу планы альянса «Газпрома» и Shell
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"Прибыль за период составила 10,9 млн евро по сравнению с 14,3 млн евро в 2009 году."
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"Прибыль за период составила 5,9 млн евро по сравнению с 1,3 млн евро ."
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"Операционная прибыль упала до 20,3 млн евро с 74,2 млн евро во втором квартале 2008 года."
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"Однако продажи вернулись к росту в апреле-июне 2010 года, сообщил генеральный директор Пекка Элохольма."
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"Операционная прибыль составила 18,6 млн евро или 8,3% от чистого объема продаж."
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"По данным компании, изменение рыночной ситуации и ужесточение ценовой конкуренции существенно снизили спрос на упаковку для хлеба, производимую на заводе в Каухаве."
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,В рамках сделки Digia наймет 19 сотрудников Nokia в Осло и Силиконовой долине в США.
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"Бразильское подразделение финского поставщика решений безопасности F-Secure в прошлом году привлекло 1500 новых клиентов, сообщает интернет-источник Reseller Web со ссылкой на коммерческого директора подразделения Владимира Бранд+уо."
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"Справедливая стоимость инвестиционной недвижимости компании снизилась до 2,768 миллиарда евро в конце 2009 года с 2,916 миллиарда евро годом ранее."
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Дилеры заявили, что акции в значительной степени пострадали из-за разочарования инвесторов по поводу рентабельности переработки в размере всего 9,48 долларов США за баррель за квартал и производительности транспортировочного подразделения, в результате которого EBIT упал до 5 миллионов евро с 20 миллионов евро в год на фоне падения объемов. и танкерные ставки."
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"«Это свидетельство качества нашего решения LTE и нашей приверженности японскому рынку», — добавил он."
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,Цель компаний - завершить переговоры и подписать контракты в начале октября 2008 года.
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Foundries Jyvaskyla Oy прекратит производство на этой линии к 30 сентября 2008 года, сообщила компания."
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"Всего шесть опрошенных аналитиков дали оценку M-real: двое дали оценку «покупать» и «накапливать», трое дали оценку «держать» и только один дал оценку «продать»."
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"В сентябре 2010 года финская группа согласилась купить датскую компанию Rose Poultry A-S за 23,9 млн евро наличными и акциями."
$YANG Double bottom 5.2,positive,$YANG Двойное дно 5.2
Tesco share price down as grocer faces SFO investigation outcome,negative,"Цена акций Tesco упала, поскольку бакалейщику грозит результат расследования SFO"
$aapl news is becoming very bullish again http://stks.co/tMU,positive,Новости $aapl снова становятся очень оптимистичными http://stks.co/tMU
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering установит клапаны на заводе по производству сжиженного природного газа, который она построила для оператора газовых заводов по добыче и добыче СПГ GASCO в ОАЭ в Рувайсе, ОАЭ."
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,"Проценты акций и прав голоса рассчитываются пропорционально общему количеству акций, зарегистрированных в торговом реестре, и общему количеству связанных с ними прав голоса."
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"В M-Real заявили, что слухам, которые ""циркулируют на рынке уже несколько месяцев, нет никаких оснований"". '"
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Лембер сказал, что этот вопрос актуален и в Эстонии, где в Министерстве социальных дел разработан законопроект, который отменит пенсии по старости на льготных условиях."
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,"- Агентство Moody's заявило, что присвоило долгосрочный рейтинг необеспеченных долговых обязательств P A1 и краткосрочный рейтинг P P-1 программе EMTN среднесрочного долга финского кредитора Aktia Bank на сумму 1 млрд долларов США и 1,4 млрд евро от 25 марта 2011 года."
$TSLA recall,negative,$TSLA отзыв
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"Предоставление ликвидности было прервано 11 мая 2007 года, когда акции Aspocomp Group Oyj торговались ниже 0,50 цента (сообщение фондовой биржи Aspocomp от 11 мая 2007 года)."
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"Харгривс Лэнсдаун боится слабых рынков и видит рост активов на 2,6 процента"
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"В 12.59 индекс OMX Helsinki 25 снизился на 0,32% и составил 2694,81."
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,Это решение означает временные увольнения на фиксированный срок на предприятиях компании в Настоле и Ювяскюля в южной и центральной Финляндии соответственно.
The value of the orders is over EUR 10mn .,neutral,Стоимость заказов превышает 10 млн евро.
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,Г-жа Лааксо будет отвечать за функции управления персоналом HKScan и за их развитие во всех областях рынка Группы.
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,Fiskars также занимается поставками и услугами судового и энергетического оборудования по всему миру через свою дочернюю компанию Wartsila Corporation.
Aberdeen Asset Management Gains Foothold In China,positive,Aberdeen Asset Management укрепляется в Китае
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,Доминирующая в Финляндии железнодорожная компания VR планирует посадить инфицированных пассажиров для дальних поездок в отдельный вагон.
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"В ноябре правительство Финляндии еще больше снизило свою долю в компании до 31,1 процента с 38 процентов."
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"Финская Exel Composites, технологическая компания, которая проектирует, производит и продает композитные профили и трубы для различного промышленного применения, сообщает, что ее чистые продажи снизились на 0,6% во втором квартале 2010 года до 19,2 млн евро с 19,3 млн евро за соответствующий период в 2009 ."
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"Bavelloni Tools, совместное предприятие Bavelloni и NST, дорабатывает полуфабрикаты, производимые в Италии, в высококачественные инструменты, которые будут продаваться под брендом DiaPol."
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,"Этот инструмент представляет собой запатентованную конструкцию, которая позволяет потребителям размещать весь свой проект на съемной пластине, используя несколько прозрачных штампов любого типа."
$GOOGL is a short below 740 into the upper BB and is overbought,negative,$GOOGL находится в короткой позиции ниже 740 до верхнего BB и перекуплен
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"ВЫКЛЮЧЕНИЕ СВЕТА Перед комендантским часом устройтесь поудобнее, наслаждаясь новейшим бестселлером, и порадуйте свои глаза идеальной лампой для чтения от Luceplan."
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"UPM-Kymmene Corp., крупнейший в мире производитель журнальной бумаги, во вторник сообщила о 19-процентном падении прибыли, поскольку снижение цен на бумагу, рост затрат и сильный евро нанесли ущерб доходам."
The total value of the contract is some EUR 8 million .,neutral,Общая стоимость контракта составляет около 8 миллионов евро.
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,"Обязательным условием для включения в программу и получения каких-либо доходов является приобретение ключевыми сотрудниками акций Aspo в максимальном размере, заранее определенном Советом директоров."
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,Г-н Доринг работает в Eaton с 1989 года и с января 2007 года занимал должность менеджера бизнес-подразделения Eaton по управлению питанием.
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"Магазин площадью 250 кв. м (2691 кв. фут) в главном торговом районе Копенгагена был открыт сегодня, что еще больше укрепит присутствие компании в столицах Северных стран."
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,В финансовом отчете за первый квартал 2010 года Tikkurila отражена в статье «Прекращенная деятельность».
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"Второй по величине в мире производитель нержавеющей стали сообщил, что чистая прибыль за трехмесячный период до 31 декабря выросла до 603 млн евро (781 млн долларов США), или 3,33 евро (4,31 доллара США на акцию), со 172 млн евро (или 0,94 евро на акцию). доля , предыдущий год ."
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",neutral,"Имя заявителя: Jot Automation OYИмя изобретателя: Маммила Туомо, Пиирайнен Мика и Келлокоски Мика Номер заявки: 2424-KOLNP-2008 ADДата подачи заявки: 16-06-2008Дата публикации: 30.01.2009"
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive,Netflix наращивает усилия по созданию лояльных клиентов $NFLX https://t.co/5QXBkoBphe
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",negative,"Индекс OMX Nordic 40 OMXN40, включающий 40 наиболее торгуемых акций Северных стран на бирже Nasdaq OMX, в четверг закрылся снижением на 0,87% до 1064,14 пункта."
$AAPL nibbling on a small long via 525.. buying off 13min charts..,positive,$AAPL откусывает небольшую длинную позицию через 525.. покупает на 13-минутных графиках..
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,"Операционная рентабельность подразделения Aker Yards Cruise & Ferries снизилась с 8,3% до 6,4% в первом квартале 2007 года."
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive,"$TYC вот-вот достигнет новых максимумов, многие технические показатели сейчас выглядят великолепно."
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",neutral,"Ээро Катаджавуори, в настоящее время вице-президент группы по кадрам, возьмет годовой творческий отпуск, начиная с 1 октября 2010 года."
